rank,music,main_artist,year,featuring1,featuring2,photo
84,Then,Brad Paisley,2009,,,https://charts-static.billboard.com/img/2009/04/brad-paisley-ws4-53x53.jpg
85,Her Diamonds,Rob Thomas,2009,,,https://charts-static.billboard.com/img/2009/05/rob-thomas-qfd-53x53.jpg
86,How Do You Sleep?,Jesse McCartney,2009,Ludacris,,https://charts-static.billboard.com/img/2008/12/jesse-mccartney-2fg-53x53.jpg
87,3,Britney Spears,2009,,,https://charts-static.billboard.com/img/2009/10/britney-spears-s89-53x53.jpg
88,Forever,Drake,2009,"Kanye West, Lil Wayne",Eminem,https://charts-static.billboard.com/img/2009/09/drake-hq6-53x53.jpg
89,One Time,Justin Bieber,2009,,,https://charts-static.billboard.com/img/2009/07/justin-bieber-4oh-one-time-1qz-53x53.jpg
90,I Run To You,Lady Antebellum,2009,,,https://charts-static.billboard.com/img/2009/01/lady-antebellum-g3u-53x53.jpg
91,I Do Not Hook Up,Kelly Clarkson,2009,,,https://charts-static.billboard.com/img/2009/03/kelly-clarkson-091-53x53.jpg
92,Green Light,John Legend,2009,Andre 3000,,https://charts-static.billboard.com/img/2008/08/john-legend-xtz-53x53.jpg
93,People Are Crazy,Billy Currington,2009,,,https://charts-static.billboard.com/img/2009/03/billy-currington-kzk-53x53.jpg
94,Whatever It Is,Zac Brown Band,2009,,,https://charts-static.billboard.com/img/1840/12/zac-brown-band-fe5-53x53.jpg
95,Already Gone,Kelly Clarkson,2009,,,https://charts-static.billboard.com/img/2009/03/kelly-clarkson-091-53x53.jpg
96,Goodbye,Kristinia DeBarge,2009,,,https://charts-static.billboard.com/img/2009/04/kristinia-debarge-9ho-53x53.jpg
97,Say Hey (I Love You),Michael Franti,2009,Spearhead,Cherine Anderson,https://charts-static.billboard.com/img/2008/08/michael-franti-spearhead-nf2-53x53.jpg
98,Pop Champagne,Jim Jones,2009,Ron Browz,Juelz Santana,https://charts-static.billboard.com/img/2008/09/jim-jones-bmq-53x53.jpg
99,Pretty Wings,Maxwell,2009,,,https://charts-static.billboard.com/img/2017/03/maxwell-53x53.jpg
100,Never Say Never,The Fray,2009,,,https://charts-static.billboard.com/img/2009/02/the-fray-2ey-53x53.jpg
1,TiK ToK,Ke$ha,2010,,,https://charts-static.billboard.com/img/1840/12/kesha-iom-53x53.jpg
2,Need You Now,Lady Antebellum,2010,,,https://charts-static.billboard.com/img/2017/07/lady-antebellum-53x53.jpg
3,"Hey, Soul Sister",Train,2010,,,https://charts-static.billboard.com/img/2017/05/train-53x53.jpg
4,California Gurls,Katy Perry,2010,Snoop Dogg,,https://charts-static.billboard.com/img/2010/05/katy-perry-04d-53x53.jpg
5,OMG,Usher,2010,will.i.am,,https://charts-static.billboard.com/img/2010/03/usher-oqp-53x53.jpg
6,Airplanes,B.o.B,2010,Hayley Williams,,https://charts-static.billboard.com/img/2010/05/bob-1-t7h-53x53.jpg
7,Love The Way You Lie,Eminem,2010,Rihanna,,https://www.billboard.com/assets/1585328969/images/charts/bb-placeholder-new.jpg?4118ff5c23d0f1304dc5
8,Bad Romance,Lady Gaga,2010,,,https://charts-static.billboard.com/img/2009/11/lady-gaga-lkc-53x53.jpg
9,Dynamite,Taio Cruz,2010,,,https://charts-static.billboard.com/img/2010/06/taio-cruz-vf6-53x53.jpg
10,Break Your Heart,Taio Cruz,2010,Ludacris,,https://charts-static.billboard.com/img/2010/02/taio-cruz-vf6-53x53.jpg
11,Nothin' On You,B.o.B,2010,Bruno Mars,,https://charts-static.billboard.com/img/2010/01/bob-1-t7h-53x53.jpg
12,I Like It,Enrique Iglesias,2010,Pitbull,,https://charts-static.billboard.com/img/2010/05/enrique-iglesias-m5f-53x53.jpg
13,BedRock,Young Money,2010,Lloyd,,https://charts-static.billboard.com/img/2009/10/young-money-7wj-53x53.jpg
14,In My Head,Jason Derulo,2010,,,https://charts-static.billboard.com/img/2009/12/jason-derulo-3xq-53x53.jpg
15,Rude Boy,Rihanna,2010,,,https://charts-static.billboard.com/img/2010/01/rihanna-t38-53x53.jpg
16,Telephone,Lady Gaga,2010,Beyonce,,https://charts-static.billboard.com/img/2009/12/lady-gaga-gyl-53x53.jpg
17,Teenage Dream,Katy Perry,2010,,,https://charts-static.billboard.com/img/2010/08/katy-perry-l8p-53x53.jpg
18,Just The Way You Are,Bruno Mars,2010,,,https://charts-static.billboard.com/img/2010/08/bruno-mars-va7-53x53.jpg
19,Cooler Than Me,Mike Posner,2010,,,https://charts-static.billboard.com/img/2010/04/mike-posner-oiz-53x53.jpg
20,Imma Be,The Black Eyed Peas,2010,,,https://charts-static.billboard.com/img/1998/07/the-black-eyed-peas-b9u-53x53.jpg
21,Empire State Of Mind,Jay-Z + Alicia Keys,2010,,,https://charts-static.billboard.com/img/2009/09/jay-z-gbw-53x53.jpg
22,DJ Got Us Fallin' In Love,Usher,2010,Pitbull,,https://charts-static.billboard.com/img/2010/07/usher-oqp-53x53.jpg
23,Billionaire,Travie McCoy,2010,Bruno Mars,,https://charts-static.billboard.com/img/2010/03/travie-mccoy-xyy-53x53.jpg
24,Not Afraid,Eminem,2010,,,https://charts-static.billboard.com/img/2010/05/eminem-c16-53x53.jpg
25,Replay,Iyaz,2010,,,https://charts-static.billboard.com/img/2009/08/iyaz-a7g-53x53.jpg
26,Sexy Chick,David Guetta,2010,Akon,,https://charts-static.billboard.com/img/2009/08/david-guetta-z71-53x53.jpg
27,Breakeven,The Script,2010,,,https://charts-static.billboard.com/img/2017/07/the-script-53x53.jpg
28,Your Love Is My Drug,Ke$ha,2010,,,https://charts-static.billboard.com/img/1840/12/kesha-iom-53x53.jpg
29,I Gotta Feeling,The Black Eyed Peas,2010,,,https://charts-static.billboard.com/img/1998/07/the-black-eyed-peas-b9u-53x53.jpg
30,Fireflies,Owl City,2010,,,https://charts-static.billboard.com/img/2009/08/owl-city-1t0-53x53.jpg
31,Say Aah,Trey Songz,2010,Fabolous,,https://charts-static.billboard.com/img/2009/09/trey-songz-kc8-53x53.jpg
32,Find Your Love,Drake,2010,,,https://charts-static.billboard.com/img/2010/05/drake-hq6-53x53.jpg
33,Alejandro,Lady Gaga,2010,,,https://charts-static.billboard.com/img/2009/12/lady-gaga-gyl-53x53.jpg
34,Ridin' Solo,Jason Derulo,2010,,,https://charts-static.billboard.com/img/2010/03/jason-derulo-3xq-53x53.jpg
35,Just A Dream,Nelly,2010,,,https://charts-static.billboard.com/img/2010/08/nelly-fmf-53x53.jpg
36,How Low,Ludacris,2010,,,https://charts-static.billboard.com/img/2009/11/ludacris-5cn-53x53.jpg
37,Like A G6,Far*East Movement,2010,Cataracs,Dev,https://charts-static.billboard.com/img/2010/07/fareast-movement-tai-53x53.jpg
38,Carry Out,Timbaland,2010,Justin Timberlake,,https://charts-static.billboard.com/img/2009/12/timbaland-3i9-53x53.jpg
39,Haven't Met You Yet,Michael Buble,2010,,,https://www.billboard.com/assets/1585328969/images/charts/bb-placeholder-new.jpg?4118ff5c23d0f1304dc5
40,Club Can't Handle Me,Flo Rida,2010,David Guetta,,https://charts-static.billboard.com/img/2010/07/flo-rida-8v1-53x53.jpg
41,Down,Jay Sean,2010,Lil Wayne,,https://charts-static.billboard.com/img/2009/07/jay-sean-fk9-53x53.jpg
42,Bulletproof,La Roux,2010,,,https://charts-static.billboard.com/img/2009/07/la-roux-0ka-53x53.jpg
43,Whatcha Say,Jason Derulo,2010,,,https://charts-static.billboard.com/img/2009/07/jason-derulo-3xq-53x53.jpg
44,Baby,Justin Bieber,2010,Ludacris,,https://charts-static.billboard.com/img/2010/02/justin-bieber-4oh-baby-1hn-53x53.jpg
45,Whataya Want From Me,Adam Lambert,2010,,,https://charts-static.billboard.com/img/2009/12/adam-lambert-00l-53x53.jpg
46,Mine,Taylor Swift,2010,,,https://charts-static.billboard.com/img/2016/12/taylor-swift-53x53.jpg
47,Only Girl (In The World),Rihanna,2010,,,https://charts-static.billboard.com/img/2010/09/rihanna-v3t-53x53.jpg
48,Live Like We're Dying,Kris Allen,2010,,,https://charts-static.billboard.com/img/2009/10/kris-allen-uqg-53x53.jpg
49,Hard,Rihanna,2010,Jeezy,,https://charts-static.billboard.com/img/2009/11/rihanna-v3t-53x53.jpg
50,Young Forever,Jay-Z + Mr. Hudson,2010,,,https://charts-static.billboard.com/img/2009/09/jay-z-gbw-53x53.jpg
51,Blah Blah Blah,Ke$ha,2010,3OH!3,,https://charts-static.billboard.com/img/1840/12/kesha-iom-53x53.jpg
52,Bottoms Up,Trey Songz,2010,Nicki Minaj,,https://charts-static.billboard.com/img/2010/07/trey-songz-kc8-53x53.jpg
53,Do You Remember,Jay Sean,2010,Sean Paul,Lil Jon,https://charts-static.billboard.com/img/2009/11/jay-sean-fk9-53x53.jpg
54,All The Right Moves,OneRepublic,2010,,,https://charts-static.billboard.com/img/2009/10/onerepublic-bjw-53x53.jpg
55,According To You,Orianthi,2010,,,https://charts-static.billboard.com/img/2009/11/orianthi-16f-53x53.jpg
56,My Chick Bad,Ludacris,2010,Nicki Minaj,,https://charts-static.billboard.com/img/2010/02/ludacris-5cn-53x53.jpg
57,You Belong With Me,Taylor Swift,2010,,,https://charts-static.billboard.com/img/2016/12/taylor-swift-53x53.jpg
58,Meet Me Halfway,The Black Eyed Peas,2010,,,https://charts-static.billboard.com/img/1998/07/the-black-eyed-peas-b9u-53x53.jpg
59,Take It Off,Ke$ha,2010,,,https://charts-static.billboard.com/img/1840/12/kesha-iom-53x53.jpg
60,Over,Drake,2010,,,https://charts-static.billboard.com/img/2010/03/drake-hq6-53x53.jpg
61,Animal,Neon Trees,2010,,,https://charts-static.billboard.com/img/2010/02/neon-trees-p7d-53x53.jpg
62,Misery,Maroon 5,2010,,,https://charts-static.billboard.com/img/2010/07/maroon-5-9st-53x53.jpg
63,Magic,B.o.B,2010,Rivers Cuomo,,https://charts-static.billboard.com/img/2010/05/bob-1-t7h-53x53.jpg
64,Paparazzi,Lady Gaga,2010,,,https://charts-static.billboard.com/img/2009/06/lady-gaga-gyl-53x53.jpg
65,Tie Me Down,New Boyz,2010,Ray J,,https://charts-static.billboard.com/img/2009/09/new-boyz-ce9-53x53.jpg
66,Your Love,Nicki Minaj,2010,,,https://charts-static.billboard.com/img/2010/03/nicki-minaj-dc2-53x53.jpg
67,Party In The U.S.A.,Miley Cyrus,2010,,,https://charts-static.billboard.com/img/2009/08/miley-cyrus-clj-53x53.jpg
68,Deuces,Chris Brown,2010,Tyga,Kevin McCall,https://charts-static.billboard.com/img/2010/07/chris-brown-cte-53x53.jpg
69,3,Britney Spears,2010,,,https://charts-static.billboard.com/img/2009/10/britney-spears-s89-53x53.jpg
70,Impossible,Shontelle,2010,,,https://charts-static.billboard.com/img/2010/04/shontelle-eqb-53x53.jpg
71,Forever,Drake,2010,"Kanye West, Lil Wayne",Eminem,https://charts-static.billboard.com/img/2009/09/drake-hq6-53x53.jpg
72,Two Is Better Than One,Boys Like Girls,2010,Taylor Swift,,https://charts-static.billboard.com/img/2009/09/boys-like-girls-9nc-53x53.jpg
73,My First Kiss,3OH!3,2010,Ke$ha,,https://charts-static.billboard.com/img/2010/05/3oh3-eia-53x53.jpg
74,Already Gone,Kelly Clarkson,2010,,,https://charts-static.billboard.com/img/2009/03/kelly-clarkson-091-53x53.jpg
75,Rock That Body,The Black Eyed Peas,2010,,,https://charts-static.billboard.com/img/1998/07/the-black-eyed-peas-b9u-53x53.jpg
76,Secrets,OneRepublic,2010,,,https://charts-static.billboard.com/img/2009/11/onerepublic-bjw-53x53.jpg
77,Naturally,Selena Gomez,2010,The Scene,,https://charts-static.billboard.com/img/2009/10/selena-gomez-scg-53x53.jpg
78,Un-Thinkable (I'm Ready),Alicia Keys,2010,,,https://charts-static.billboard.com/img/2010/01/alicia-keys-xkr-53x53.jpg
79,All I Do Is Win,DJ Khaled,2010,"T-Pain, Ludacris, Snoop Dogg",Rick Ross,https://charts-static.billboard.com/img/2010/02/dj-khaled-igg-53x53.jpg
80,I Made It (Cash Money Heroes),Kevin Rudolf,2010,"Birdman, Jay Sean,",Lil Wayne,https://charts-static.billboard.com/img/2010/02/kevin-rudolf-872-53x53.jpg
81,Stuck Like Glue,Sugarland,2010,,,https://charts-static.billboard.com/img/2010/08/sugarland-661-53x53.jpg
82,Hey Daddy (Daddy's Home),Usher,2010,Plies,,https://charts-static.billboard.com/img/2009/12/usher-oqp-53x53.jpg
83,There Goes My Baby,Usher,2010,,,https://charts-static.billboard.com/img/2010/01/usher-oqp-53x53.jpg
84,Today Was A Fairytale,Taylor Swift,2010,,,https://charts-static.billboard.com/img/2016/12/taylor-swift-53x53.jpg
85,Say Something,Timbaland,2010,Drake,,https://charts-static.billboard.com/img/2009/11/timbaland-3i9-53x53.jpg
86,Sweet Dreams,Beyonce,2010,,,https://charts-static.billboard.com/img/1840/12/beyonce-hk0-53x53.jpg
87,Use Somebody,Kings Of Leon,2010,,,https://charts-static.billboard.com/img/2016/11/kings-of-leon-53x53.jpg
88,Undo It,Carrie Underwood,2010,,,https://charts-static.billboard.com/img/2009/11/carrie-underwood-pka-undo-it-lu9-53x53.jpg
89,Eenie Meenie,Sean Kingston,2010,Justin Bieber,,https://charts-static.billboard.com/img/2010/03/sean-kingston-qzx-eenie-meenie-4b7-53x53.jpg
90,Right Above It,Lil Wayne,2010,Drake,,https://charts-static.billboard.com/img/2010/08/lil-wayne-9q6-53x53.jpg
91,The House That Built Me,Miranda Lambert,2010,,,https://charts-static.billboard.com/img/2010/03/miranda-lambert-mzw-53x53.jpg
92,If I Die Young,The Band Perry,2010,,,https://charts-static.billboard.com/img/2010/05/the-band-perry-lzw-53x53.jpg
93,The Only Exception,Paramore,2010,,,https://charts-static.billboard.com/img/2009/10/paramore-teo-53x53.jpg
94,American Honey,Lady Antebellum,2010,,,https://charts-static.billboard.com/img/2010/01/lady-antebellum-cdm-53x53.jpg
95,King Of Anything,Sara Bareilles,2010,,,https://charts-static.billboard.com/img/2010/05/sara-bareilles-m95-53x53.jpg
96,Life After You,Daughtry,2010,,,https://charts-static.billboard.com/img/2009/11/daughtry-uco-53x53.jpg
97,Smile,Uncle Kracker,2010,,,https://charts-static.billboard.com/img/2009/08/uncle-kracker-668-53x53.jpg
98,Teach Me How To Dougie,Cali Swag District,2010,,,https://charts-static.billboard.com/img/2010/04/cali-swag-district-972-53x53.jpg
99,Try Sleeping With A Broken Heart,Alicia Keys,2010,,,https://charts-static.billboard.com/img/2009/11/alicia-keys-xkr-53x53.jpg
100,"Lover, Lover",Jerrod Niemann,2010,,,https://charts-static.billboard.com/img/2010/03/jerrod-niemann-x81-53x53.jpg
1,Rolling In The Deep,Adele,2011,,,https://charts-static.billboard.com/img/2010/12/adele-ee3-53x53.jpg
2,Party Rock Anthem,LMFAO,2011,Lauren Bennett,GoonRock,https://charts-static.billboard.com/img/1840/12/lmfao-1qb-53x53.jpg
3,Firework,Katy Perry,2011,,,https://charts-static.billboard.com/img/2008/05/katy-perry-04d-53x53.jpg
4,E.T.,Katy Perry,2011,Kanye West,,https://charts-static.billboard.com/img/2010/09/katy-perry-opk-53x53.jpg
5,Give Me Everything,Pitbull,2011,"Ne-Yo, Afrojack",Nayer,https://charts-static.billboard.com/img/2011/04/pitbull-odu-53x53.jpg
6,Grenade,Bruno Mars,2011,,,https://charts-static.billboard.com/img/2010/10/bruno-mars-va7-53x53.jpg
7,Super Bass,Nicki Minaj,2011,,,https://charts-static.billboard.com/img/2011/02/nicki-minaj-thi-53x53.jpg
8,Moves Like Jagger,Maroon 5,2011,Christina Aguilera,,https://charts-static.billboard.com/img/1840/12/maroon-5-9st-53x53.jpg
9,Just Can't Get Enough,The Black Eyed Peas,2011,,,https://charts-static.billboard.com/img/2011/02/the-black-eyed-peas-kvc-just-cant-get-enough-g8y-53x53.jpg
10,On The Floor,Jennifer Lopez,2011,Pitbull,,https://charts-static.billboard.com/img/2011/02/jennifer-lopez-eme-53x53.jpg
11,S&M,Rihanna,2011,,,https://charts-static.billboard.com/img/2010/12/rihanna-t38-53x53.jpg
12,Pumped Up Kicks,Foster The People,2011,,,https://charts-static.billboard.com/img/2011/01/foster-the-people-prl-53x53.jpg
13,Last Friday Night (T.G.I.F.),Katy Perry,2011,,,https://charts-static.billboard.com/img/2008/05/katy-perry-04d-53x53.jpg
14,Just The Way You Are,Bruno Mars,2011,,,https://charts-static.billboard.com/img/2010/08/bruno-mars-va7-53x53.jpg
15,Tonight (I'm Lovin' You),Enrique Iglesias,2011,Ludacris,DJ Frank E,https://charts-static.billboard.com/img/2010/11/enrique-iglesias-m5f-53x53.jpg
16,Raise Your Glass,P!nk,2011,,,https://charts-static.billboard.com/img/2010/10/pnk-e1s-53x53.jpg
17,Born This Way,Lady Gaga,2011,,,https://charts-static.billboard.com/img/2011/02/lady-gaga-gyl-53x53.jpg
18,F**kin' Perfect,P!nk,2011,,,https://charts-static.billboard.com/img/2010/12/pnk-e1s-53x53.jpg
19,What's My Name?,Rihanna,2011,Drake,,https://charts-static.billboard.com/img/2010/10/rihanna-t38-53x53.jpg
20,Look At Me Now,Chris Brown,2011,Lil Wayne,Busta Rhymes,https://www.billboard.com/assets/1585328969/images/charts/bb-placeholder-new.jpg?4118ff5c23d0f1304dc5
21,Down On Me,Jeremih,2011,50 Cent,,https://charts-static.billboard.com/img/2010/09/jeremih-684-53x53.jpg
22,How To Love,Lil Wayne,2011,,,https://charts-static.billboard.com/img/2011/06/lil-wayne-0sn-53x53.jpg
23,Someone Like You,Adele,2011,,,https://charts-static.billboard.com/img/2011/03/adele-hdy-53x53.jpg
24,Good Life,OneRepublic,2011,,,https://charts-static.billboard.com/img/2009/11/onerepublic-bjw-53x53.jpg
25,The Lazy Song,Bruno Mars,2011,,,https://charts-static.billboard.com/img/2010/10/bruno-mars-va7-53x53.jpg
26,Till The World Ends,Britney Spears,2011,,,https://charts-static.billboard.com/img/2011/03/britney-spears-s89-53x53.jpg
27,The Show Goes On,Lupe Fiasco,2011,,,https://charts-static.billboard.com/img/2010/11/lupe-fiasco-pvm-53x53.jpg
28,The Edge Of Glory,Lady Gaga,2011,,,https://charts-static.billboard.com/img/2017/05/lady-gaga-53x53.jpg
29,We R Who We R,Ke$ha,2011,,,https://charts-static.billboard.com/img/1840/12/kesha-iom-53x53.jpg
30,Black And Yellow,Wiz Khalifa,2011,,,https://charts-static.billboard.com/img/2010/10/wiz-khalifa-b1e-53x53.jpg
31,Tonight Tonight,Hot Chelle Rae,2011,,,https://charts-static.billboard.com/img/2011/04/hot-chelle-rae-p7k-53x53.jpg
32,Blow,Ke$ha,2011,,,https://charts-static.billboard.com/img/1840/12/kesha-iom-53x53.jpg
33,Lighters,Bad Meets Evil,2011,Bruno Mars,,https://charts-static.billboard.com/img/2011/07/bad-meets-evil-h07-53x53.jpg
34,If I Die Young,The Band Perry,2011,,,https://charts-static.billboard.com/img/2010/05/the-band-perry-lzw-53x53.jpg
35,Stereo Hearts,Gym Class Heroes,2011,Adam Levine,,https://charts-static.billboard.com/img/2011/07/gym-class-heroes-w0q-53x53.jpg
36,The Time (Dirty Bit),The Black Eyed Peas,2011,,,https://charts-static.billboard.com/img/2010/11/the-black-eyed-peas-b9u-53x53.jpg
37,Coming Home,Diddy - Dirty Money,2011,Skylar Grey,,https://charts-static.billboard.com/img/2010/12/diddy-dirty-money-l2h-53x53.jpg
38,Hey Baby (Drop It To The Floor),Pitbull,2011,T-Pain,,https://charts-static.billboard.com/img/2010/10/pitbull-odu-53x53.jpg
39,Only Girl (In The World),Rihanna,2011,,,https://charts-static.billboard.com/img/2010/09/rihanna-v3t-53x53.jpg
40,6 Foot 7 Foot,Lil Wayne,2011,Cory Gunz,,https://www.billboard.com/assets/1585328969/images/charts/bb-placeholder-new.jpg?4118ff5c23d0f1304dc5
41,Just A Kiss,Lady Antebellum,2011,,,https://charts-static.billboard.com/img/2011/05/lady-antebellum-cdm-53x53.jpg
42,Dirt Road Anthem,Jason Aldean,2011,,,https://charts-static.billboard.com/img/2011/01/jason-aldean-jfn-53x53.jpg
43,Dynamite,Taio Cruz,2011,,,https://charts-static.billboard.com/img/2010/06/taio-cruz-vf6-53x53.jpg
44,No Hands,Waka Flocka Flame,2011,Roscoe Dash,Wale,https://charts-static.billboard.com/img/2010/08/waka-flocka-flame-efd-53x53.jpg
45,I Wanna Go,Britney Spears,2011,,,https://charts-static.billboard.com/img/2017/02/britney-spears-53x53.jpg
46,I'm On One,DJ Khaled,2011,"Drake, Rick Ross",Lil Wayne,https://charts-static.billboard.com/img/2011/05/dj-khaled-abf-53x53.jpg
47,You Make Me Feel...,Cobra Starship,2011,Sabi,,https://charts-static.billboard.com/img/2011/05/cobra-starship-g9t-53x53.jpg
48,Yeah 3X,Chris Brown,2011,,,https://charts-static.billboard.com/img/2005/07/chris-brown-abf-53x53.jpg
49,Moment 4 Life,Nicki Minaj,2011,Drake,,https://charts-static.billboard.com/img/2010/12/nicki-minaj-thi-53x53.jpg
50,I Need A Doctor,Dr. Dre,2011,Eminem,Skylar Grey,https://charts-static.billboard.com/img/2011/02/dr-dre-h9l-53x53.jpg
51,Just A Dream,Nelly,2011,,,https://charts-static.billboard.com/img/2010/08/nelly-fmf-53x53.jpg
52,Motivation,Kelly Rowland,2011,Lil Wayne,,https://charts-static.billboard.com/img/2016/12/kelly-rowland-53x53.jpg
53,Stereo Love,Edward Maya,2011,Vika Jigulina,,https://charts-static.billboard.com/img/2009/12/edward-maya-v0j-53x53.jpg
54,Jar Of Hearts,Christina Perri,2011,,,https://charts-static.billboard.com/img/2010/07/christina-perri-vd0-53x53.jpg
55,Roll Up,Wiz Khalifa,2011,,,https://charts-static.billboard.com/img/2011/02/wiz-khalifa-b1e-53x53.jpg
56,Sexy And I Know It,LMFAO,2011,,,https://charts-static.billboard.com/img/2011/07/lmfao-8l3-53x53.jpg
57,Rocketeer,Far*East Movement,2011,Ryan Tedder,,https://www.billboard.com/assets/1585328969/images/charts/bb-placeholder-new.jpg?4118ff5c23d0f1304dc5
58,All Of The Lights,Kanye West,2011,,,https://charts-static.billboard.com/img/2010/12/kanye-west-irm-53x53.jpg
59,Hold It Against Me,Britney Spears,2011,,,https://charts-static.billboard.com/img/2011/01/britney-spears-s89-53x53.jpg
60,More,Usher,2011,,,https://charts-static.billboard.com/img/2010/04/usher-oqp-53x53.jpg
61,What The Hell,Avril Lavigne,2011,,,https://charts-static.billboard.com/img/2002/04/avril-lavigne-517-53x53.jpg
62,Written In The Stars,Tinie Tempah,2011,Eric Turner,,https://charts-static.billboard.com/img/2011/02/tinie-tempah-tk8-53x53.jpg
63,Bottoms Up,Trey Songz,2011,Nicki Minaj,,https://charts-static.billboard.com/img/2010/07/trey-songz-kc8-53x53.jpg
64,DJ Got Us Fallin' In Love,Usher,2011,Pitbull,,https://charts-static.billboard.com/img/2010/07/usher-oqp-53x53.jpg
65,For The First Time,The Script,2011,,,https://charts-static.billboard.com/img/2010/11/the-script-lb9-53x53.jpg
66,Honey Bee,Blake Shelton,2011,,,https://charts-static.billboard.com/img/2011/04/blake-shelton-22w-53x53.jpg
67,Don't You Wanna Stay,Jason Aldean With Kelly Clarkson,2011,,,https://charts-static.billboard.com/img/2010/11/jason-aldean-jfn-53x53.jpg
68,We Found Love,Rihanna,2011,Calvin Harris,,https://charts-static.billboard.com/img/2011/10/rihanna-t38-53x53.jpg
69,Pretty Girl Rock,Keri Hilson,2011,,,https://charts-static.billboard.com/img/2010/10/keri-hilson-1r3-53x53.jpg
70,You And I,Lady Gaga,2011,,,https://charts-static.billboard.com/img/2017/05/lady-gaga-53x53.jpg
71,Like A G6,Far*East Movement,2011,Cataracs,Dev,https://charts-static.billboard.com/img/2010/07/fareast-movement-tai-53x53.jpg
72,Without You,David Guetta,2011,Usher,,https://charts-static.billboard.com/img/2011/09/david-guetta-z71-53x53.jpg
73,Back To December,Taylor Swift,2011,,,https://charts-static.billboard.com/img/2016/12/taylor-swift-53x53.jpg
74,Teenage Dream,Katy Perry,2011,,,https://charts-static.billboard.com/img/2010/08/katy-perry-l8p-53x53.jpg
75,Crazy Girl,Eli Young Band,2011,,,https://charts-static.billboard.com/img/2011/03/eli-young-band-8g9-53x53.jpg
76,Cheers (Drink To That),Rihanna,2011,,,https://charts-static.billboard.com/img/2010/12/rihanna-t38-53x53.jpg
77,Who Says,Selena Gomez,2011,The Scene,,https://charts-static.billboard.com/img/2011/04/selena-gomez-scg-53x53.jpg
78,Barefoot Blue Jean Night,Jake Owen,2011,,,https://charts-static.billboard.com/img/2011/04/jake-owen-17q-53x53.jpg
79,Knee Deep,Zac Brown Band,2011,Jimmy Buffett,,https://www.billboard.com/assets/1585328969/images/charts/bb-placeholder-new.jpg?4118ff5c23d0f1304dc5
80,Country Girl (Shake It For Me),Luke Bryan,2011,,,https://charts-static.billboard.com/img/2011/04/luke-bryan-qhx-53x53.jpg
81,Remind Me,Brad Paisley Duet With Carrie Underwood,2011,,,https://charts-static.billboard.com/img/2011/06/brad-paisley-ws4-53x53.jpg
82,In The Dark,Dev,2011,,,https://charts-static.billboard.com/img/2011/06/dev-hvz-53x53.jpg
83,Backseat,New Boyz,2011,The Cataracs,Dev,https://charts-static.billboard.com/img/2011/02/new-boyz-ce9-53x53.jpg
84,Headlines,Drake,2011,,,https://charts-static.billboard.com/img/1840/12/drake-zwl-53x53.jpg
85,Best Thing I Never Had,Beyonce,2011,,,https://charts-static.billboard.com/img/1840/12/beyonce-hk0-53x53.jpg
86,Don't Wanna Go Home,Jason Derulo,2011,,,https://charts-static.billboard.com/img/2011/05/jason-derulo-3xq-53x53.jpg
87,Where Them Girls At,David Guetta,2011,Flo Rida,Nicki Minaj,https://charts-static.billboard.com/img/2011/05/david-guetta-z71-53x53.jpg
88,She Ain't You,Chris Brown,2011,,,https://charts-static.billboard.com/img/2011/04/chris-brown-cte-53x53.jpg
89,Take A Back Road,Rodney Atkins,2011,,,https://charts-static.billboard.com/img/2011/05/rodney-atkins-r4o-53x53.jpg
90,Please Don't Go,Mike Posner,2011,,,https://charts-static.billboard.com/img/2010/08/mike-posner-oiz-53x53.jpg
91,Sure Thing,Miguel,2011,,,https://charts-static.billboard.com/img/1840/12/miguel-y6r-53x53.jpg
92,Price Tag,Jessie J,2011,B.o.B,,https://charts-static.billboard.com/img/2011/02/jessie-j-zrp-53x53.jpg
93,God Gave Me You,Blake Shelton,2011,,,https://charts-static.billboard.com/img/2017/02/blake-shelton-53x53.jpg
94,She Will,Lil Wayne,2011,Drake,,https://charts-static.billboard.com/img/2011/08/lil-wayne-0sn-53x53.jpg
95,Are You Gonna Kiss Me Or Not,Thompson Square,2011,,,https://charts-static.billboard.com/img/2010/07/thompson-square-ep2-53x53.jpg
96,Animal,Neon Trees,2011,,,https://charts-static.billboard.com/img/2010/02/neon-trees-p7d-53x53.jpg
97,You And Tequila,Kenny Chesney,2011,Grace Potter,,https://charts-static.billboard.com/img/2011/05/kenny-chesney-en6-53x53.jpg
98,Colder Weather,Zac Brown Band,2011,,,https://charts-static.billboard.com/img/2010/12/zac-brown-band-jc8-53x53.jpg
99,My Last,Big Sean,2011,Chris Brown,,https://charts-static.billboard.com/img/2011/02/big-sean-820-53x53.jpg
100,My Last,Big Sean,2011,Chris Brown,,https://charts-static.billboard.com/img/2011/02/big-sean-820-53x53.jpg
1,Somebody That I Used To Know,Gotye,2012,Kimbra,,https://charts-static.billboard.com/img/1840/12/gotye-ujn-53x53.jpg
2,Call Me Maybe,Carly Rae Jepsen,2012,,,https://charts-static.billboard.com/img/2011/10/carly-rae-jepsen-6ta-call-me-maybe-xzb-53x53.jpg
3,We Are Young,fun.,2012,Janelle Monae,,https://charts-static.billboard.com/img/2011/10/fun-gqs-53x53.jpg
